,time [fs]
1869,1.3903165073011286e-13
1870,1.3946759858944252e-13
1871,1.3990764558379766e-13
1872,1.4034883617763763e-13
1873,1.4079204800043753e-13
1874,1.4123812318380808e-13
1875,1.4168295111965143e-13
1876,1.421267033695349e-13
1877,1.4257502264466363e-13
1878,1.4302695580217672e-13
1879,1.434787004958004e-13
1880,1.4393281942661742e-13
1881,1.4439122874432041e-13
1882,1.4485041014450066e-13
1883,1.45309542931399e-13
1884,1.4577138506451198e-13
1885,1.4623567483592798e-13
1886,1.4669981927384988e-13
1887,1.4716289843244302e-13
1888,1.4762652363440883e-13
1889,1.4809432294875664e-13
1890,1.4856581974175217e-13
1891,1.490355712937805e-13
1892,1.4950428497613773e-13
1893,1.4997702483711146e-13
1894,1.5045264592242813e-13
1895,1.5092876609766848e-13
1896,1.5140768938425247e-13
1897,1.5188884881986685e-13
1898,1.523685523351865e-13
1899,1.5284868552812408e-13
1900,1.5333211618999023e-13
1901,1.5381717253612413e-13
1902,1.543030488039896e-13
1903,1.5479052515801297e-13
1904,1.5527863001328455e-13
1905,1.5576687084501942e-13
1906,1.5625648765474568e-13
1907,1.567480958198049e-13
1908,1.5724051558092607e-13
1909,1.577339282894799e-13
1910,1.582303235265087e-13
1911,1.587293686231631e-13
1912,1.5922921654045881e-13
1913,1.5972935379773586e-13
1914,1.6022981769134906e-13
1915,1.6073138109351365e-13
1916,1.6123501623705974e-13
1917,1.6174032249286212e-13
1918,1.6224724948486966e-13
1919,1.6275624965262964e-13
1920,1.6326511491381943e-13
1921,1.637723420442166e-13
1922,1.6428115665714194e-13
1923,1.6479367708600801e-13
1924,1.6530629341872306e-13
1925,1.6581657659961358e-13
1926,1.6632761056408161e-13
1927,1.668431342037822e-13
1928,1.6736230569190853e-13
1929,1.6788064050520975e-13
1930,1.6839876832636937e-13
1931,1.6892109690521822e-13
1932,1.6944457931148388e-13
1933,1.699647063687911e-13
1934,1.7048645174742668e-13
1935,1.710126234738538e-13
1936,1.715378058878401e-13
1937,1.7206225897673772e-13
1938,1.7259162674550809e-13
1939,1.7312582953362386e-13
1940,1.7366079471892606e-13
1941,1.7419526480294653e-13
1942,1.747290949651405e-13
1943,1.752620569872275e-13
1944,1.7579657808563797e-13
1945,1.7633342410099568e-13
1946,1.768703976761793e-13
1947,1.7740945116049127e-13
1948,1.7795312798814508e-13
1949,1.7849580569534387e-13
1950,1.790339236644531e-13
1951,1.7957303834332335e-13
1952,1.8011606796117734e-13
1953,1.8066013857957923e-13
1954,1.8120411307369179e-13
1955,1.8174980054200555e-13
1956,1.8229794292138663e-13
1957,1.8284629864157694e-13
1958,1.8339444944721851e-13
1959,1.8394486717136097e-13
1960,1.844977013033697e-13
1961,1.8505192901426258e-13
1962,1.8560746286973585e-13
1963,1.8616166535906215e-13
1964,1.8671312493042086e-13
1965,1.87266796343867e-13
1966,1.8782417650114133e-13
1967,1.8838013742030445e-13
1968,1.8893366353552476e-13
1969,1.8948909219648268e-13
1970,1.900481984131508e-13
1971,1.9060904155911177e-13
1972,1.911696303988771e-13
1973,1.9173004159737533e-13
1974,1.9229132785610452e-13
1975,1.9285272234952615e-13
1976,1.934144706889939e-13
1977,1.9397660359611223e-13
1978,1.945371536301986e-13
1979,1.9509767100681217e-13
1980,1.9566059734755996e-13
1981,1.9622433512378334e-13
1982,1.967882291713211e-13
1983,1.973535916862175e-13
1984,1.9791902310956832e-13
1985,1.984843727951222e-13
1986,1.990529298365983e-13
1987,1.996242192524991e-13
1988,2.001959201976169e-13
1989,2.0076838993118367e-13
1990,2.0134124594513135e-13
1991,2.019124139054244e-13
1992,2.0248309484303553e-13
1993,2.0305611822989767e-13
1994,2.0362964396091047e-13
1995,2.0420099260392245e-13
1996,2.0477215749933028e-13
1997,2.053466291860069e-13
1998,2.0592422508109875e-13
1999,2.0650155352484662e-13
2000,2.070756088300795e-13
2001,2.0764822428081633e-13
2002,2.0822360690088152e-13
2003,2.0880127883042692e-13
2004,2.0937810931110651e-13
2005,2.0995375233794802e-13
2006,2.1053030652781118e-13
2007,2.1110746034956633e-13
2008,2.1168327465269384e-13
2009,2.1225979038437072e-13
2010,2.1283937586640308e-13
2011,2.1341891521810223e-13
2012,2.13996764522792e-13
2013,2.145754392143762e-13
2014,2.1515580428516073e-13
2015,2.15736490227295e-13
2016,2.1631704662853748e-13
2017,2.1689888393160163e-13
2018,2.1748178307023918e-13
2019,2.1806376261250743e-13
2020,2.186456816411847e-13
2021,2.1922930974934433e-13
2022,2.1981270519726413e-13
2023,2.2039339284538917e-13
2024,2.2097343128971573e-13
2025,2.2155418710093768e-13
2026,2.2213387906177778e-13
2027,2.2271383535271704e-13
2028,2.2329713248305977e-13
2029,2.2388154275665762e-13
2030,2.2446377396146093e-13
2031,2.2504639863993052e-13
2032,2.256304985086758e-13
2033,2.2621284760219625e-13
2034,2.267930431477851e-13
2035,2.273735591257891e-13
2036,2.2795625338880107e-13
2037,2.285396629724108e-13
2038,2.2912367940949486e-13
2039,2.297093297255501e-13
2040,2.3029339644263694e-13
2041,2.3087525404131175e-13
2042,2.314576850643349e-13
2043,2.320391096119405e-13
2044,2.326180146340539e-13
2045,2.3319790406167976e-13
2046,2.337800680308079e-13
2047,2.3436203850290054e-13
2048,2.349437565709185e-13
2049,2.355263956663634e-13
2050,2.361079087265393e-13
2051,2.36687859590661e-13
2052,2.37269303091173e-13
2053,2.3785308635769074e-13
2054,2.3843907475239205e-13
2055,2.3902616863436097e-13
2056,2.3961192809007947e-13
2057,2.401971574579988e-13
2058,2.4078309319014214e-13
2059,2.4136870720809797e-13
2060,2.4195339780559686e-13
2061,2.4253706276153535e-13
2062,2.431202914373092e-13
2063,2.4370378274916835e-13
2064,2.442860012847418e-13
2065,2.448685459253426e-13
2066,2.4545439059426864e-13
2067,2.4603833559391195e-13
2068,2.466167386819309e-13
2069,2.4719665232456754e-13
2070,2.477809080351795e-13
2071,2.483624245239873e-13
2072,2.489407285595743e-13
2073,2.495224863351531e-13
2074,2.501074086044586e-13
2075,2.5069060146619446e-13
2076,2.512727073862703e-13
2077,2.518571507879179e-13
2078,2.52443223104548e-13
2079,2.53027786762953e-13
2080,2.5361109247818294e-13
2081,2.541963713391488e-13
2082,2.5478348081803253e-13
2083,2.5536921414639886e-13
2084,2.5595316480689146e-13
2085,2.5653774612025196e-13
2086,2.57122991473311e-13
2087,2.5770806471386663e-13
2088,2.5829392556302404e-13
2089,2.5888067316337287e-13
2090,2.594668813217209e-13
2091,2.6005137667610276e-13
2092,2.606338072213017e-13
2093,2.6121485631657343e-13
2094,2.6179702711525567e-13
2095,2.623818397381355e-13
2096,2.6296589894599676e-13
2097,2.63546380034223e-13
2098,2.64127259917089e-13
2099,2.647119695113442e-13
2100,2.6529703148638054e-13
2101,2.6587944351486185e-13
