,time [fs]
1706,8.036250950700819e-14
1707,8.052388731817192e-14
1708,8.068615121596067e-14
1709,8.084931338721784e-14
1710,8.101338534534623e-14
1711,8.117837737600203e-14
1712,8.134429759901558e-14
1713,8.151115267570497e-14
1714,8.167895107057622e-14
1715,8.18477036307623e-14
1716,8.201742378264508e-14
1717,8.218812454514412e-14
1718,8.235981487601508e-14
1719,8.253250305858836e-14
1720,8.270619944832492e-14
1721,8.288091431233347e-14
1722,8.305665673691022e-14
1723,8.323343481544674e-14
1724,8.341125652351322e-14
1725,8.359012890249813e-14
1726,8.377005866488747e-14
1727,8.395105408444174e-14
1728,8.413312560017304e-14
1729,8.431628382740384e-14
1730,8.450054014034851e-14
1731,8.468590659716601e-14
1732,8.487239578194749e-14
1733,8.506001898179941e-14
1734,8.524878452012073e-14
1735,8.543870001577377e-14
1736,8.562977486628215e-14
1737,8.58220198687545e-14
1738,8.601544394798879e-14
1739,8.621005616818323e-14
1740,8.640586655883493e-14
1741,8.660288474073928e-14
1742,8.680112018002883e-14
1743,8.700058204234607e-14
1744,8.72012795248346e-14
1745,8.740322306367202e-14
1746,8.760642329675704e-14
1747,8.781088944920529e-14
1748,8.801662886050652e-14
1749,8.822365025280425e-14
