,Energy [eV]
1691,1691.2522
1692,1692.2523
1693,1693.2524
1694,1694.2525
1695,1695.2526
1696,1696.2527
1697,1697.2527
1698,1698.2528
1699,1699.2529
1700,1700.253
1701,1701.2531
1702,1702.2532
1703,1703.2533
1704,1704.2534
1705,1705.2535
1706,1706.2536
1707,1707.2536
1708,1708.2537
1709,1709.2538
1710,1710.2539
1711,1711.254
1712,1712.2541
1713,1713.2542
1714,1714.2543
1715,1715.2544
1716,1716.2545
1717,1717.2545
1718,1718.2546
1719,1719.2547
1720,1720.2548
1721,1721.2549
1722,1722.255
1723,1723.2551
1724,1724.2552
1725,1725.2553
1726,1726.2554
1727,1727.2554
1728,1728.2555
1729,1729.2556
1730,1730.2557
1731,1731.2558
1732,1732.2559
1733,1733.256
1734,1734.2561
1735,1735.2562
1736,1736.2563
1737,1737.2563
1738,1738.2564
1739,1739.2565
1740,1740.2566
1741,1741.2567
1742,1742.2568
1743,1743.2569
1744,1744.257
1745,1745.2571
1746,1746.2572
1747,1747.2572
1748,1748.2573
1749,1749.2574
1750,1750.2575
1751,1751.2576
1752,1752.2577
1753,1753.2578
1754,1754.2579
1755,1755.258
1756,1756.2581
1757,1757.2581
1758,1758.2582
1759,1759.2583
1760,1760.2584
1761,1761.2585
1762,1762.2586
1763,1763.2587
1764,1764.2588
1765,1765.2589
1766,1766.259
1767,1767.259
1768,1768.2591
1769,1769.2592
1770,1770.2593
1771,1771.2594
1772,1772.2595
1773,1773.2596
1774,1774.2597
1775,1775.2598
1776,1776.2599
1777,1777.2599
1778,1778.26
1779,1779.2601
1780,1780.2602
